,product_name,qty,location,payment_mode,price,Time
573,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
574,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
575,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
576,Sennheiser HD4.40 Blueooth Headphone Black,1,400018,UPI,5499.0,year-2021_month-06
577,"Redmi Note 10 64 GB, 4 GB RAM, Frost White, Smartphone",1,302003,Credit Card,12499.0,year-2021_month-06
578,"Bose S1 Pro Wireless Bluetooth Speaker with Mic, Black",1,411025,Credit Card,60625.0,year-2021_month-06
579,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,  GSTI,CREDIT_CARD,7823.33,year-2021_month-06
580,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,  GSTI,CREDIT_CARD,7823.33,year-2021_month-06
581,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,  GSTI,CREDIT_CARD,7823.34,year-2021_month-06
582,Sony PS4 1TB Slim Console Bundled with Spider-Man/Grand Tourist Sport/ Ratchet & Clank (3 Months PlayStation Network Subscription) ,1,560093,Credit Card,29990.0,year-2021_month-06
583,Reconnect Disney Mickey Mouse Pop Stand Secure grip hads free viewing Solid stick 3M tape Free car mount included DPS101 MY,1,560093,COD,249.0,year-2021_month-06
584,"Samsung Galaxy M01 Core 16 GB, 1 GB, Blue, Smartphone",1,400004,Credit Card,4949.0,year-2021_month-06
585,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
586,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
587,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
588,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Blue, Smartphone",1,500007,Credit Card,13999.0,year-2021_month-06
589,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Black, Smartphone",1,500007,Credit Card,13999.0,year-2021_month-06
590,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,522503,Credit Card,7823.33,year-2021_month-06
591,"Realme 8 Pro, 128 GB, 6 GB RAM, Infinite Blue, Smartphone",1,500007,Credit Card,16216.48,year-2021_month-06
592,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
593,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
